titulo,url,nome_do_canal,data,fonte,dici_teste_id
Por que a caxumba recolhe para o saco? O que o dentista tem a ver com isso? | Prof Mauricio Volkweis,https://www.youtube.com/watch?v=09NlJPdgMPI,,Acesso em: 4/5/2024,Youtube,20
Infectologista fala sobre alta nos casos de caxumba,https://www.youtube.com/watch?v=7NP6zb6XP2Y,,Acesso em: 4/5/2024,Youtube,20
Caxumba e meningite,https://www.youtube.com/watch?v=KRTp6myzrS4,,Acesso em: 4/5/2024,Youtube,20
Mulheres - Saúde: Caxumba (17/05/16),https://www.youtube.com/watch?v=Y576kJbTRtI,,Acesso em: 4/5/2024,Youtube,20
ORQUITE POR CAXUMBA - Testículo inchado é tudo igual?,https://www.youtube.com/watch?v=aRsZZBRPYU4,,Acesso em: 4/5/2024,Youtube,20
3ª Aula de viroses - Tema: Parotidite (Caxumba),https://www.youtube.com/watch?v=IkdtKa37Gzw,,Acesso em: 4/5/2024,Youtube,20
Parotidite (Caxumba),https://www.youtube.com/watch?v=o8ZImTjT488,,Acesso em: 4/5/2024,Youtube,20
Chikungunya - Brasil Escola,https://www.youtube.com/watch?v=nHjcbHq36OY,,Acesso em: 4/5/2024,Youtube,21
Chikungunya: o que é e principais sintomas | José Góes,https://www.youtube.com/watch?v=A12c3mK6i78,,Acesso em: 4/5/2024,Youtube,21
"Diferença entre Dengue, Chikungunya e Zika | José Góes",https://www.youtube.com/watch?v=hIgLwVya7tk,,Acesso em: 4/5/2024,Youtube,21
Chikungunya pode causar dor nas articulações?,https://www.youtube.com/watch?v=3UwuVSFDZIE,,Acesso em: 4/5/2024,Youtube,21
Chikungunya: dores e inchaços são comuns após a doença,https://www.youtube.com/watch?v=xplCtzUeno0,,Acesso em: 4/5/2024,Youtube,21
TUDO SOBRE A CHIKUNGUNYA,https://www.youtube.com/watch?v=5ulYLlqFuKo,,Acesso em: 4/5/2024,Youtube,21
Zika e chikungunya deixam sequelas com tratamento dificultado por falta de diagnóstico,https://www.youtube.com/watch?v=D_ypyEy4Cz8,,Acesso em: 4/5/2024,Youtube,21
E o diagnóstico foi chikungunya #88,https://www.youtube.com/watch?v=PYcmZGwYysE,,Acesso em: 4/5/2024,Youtube,21
CHIKUNGUNYA: Solução para as DORES!,https://www.youtube.com/watch?v=ibebqX-HfKo,,Acesso em: 4/5/2024,Youtube,21
Febre Chikungunya - saiba o que é | Sua Saúde na Rede,https://www.youtube.com/watch?v=VUO54r3jhEg,,Acesso em: 4/5/2024,Youtube,21
Febre Chikungunya: A Nova Epidemia do Brasil - Prof. Paulo Jubilut,https://www.youtube.com/watch?v=V30SQmKTTvc,,Acesso em: 4/5/2024,Youtube,21
Entenda os riscos da Chikungunya com relação à má circulação e a trombose. Quais sinais de alerta?,https://www.youtube.com/watch?v=oY-uhvjlTBQ,,Acesso em: 4/5/2024,Youtube,21
CHIKUNGUNYA : ALÉM DAS DORES ARTICULARES,https://www.youtube.com/watch?v=XXX3iMCY_mc,,Acesso em: 4/5/2024,Youtube,21
ALERTA: FEBRE CHIKUNGUNYA E O OUVIDO,https://www.youtube.com/watch?v=tBVc48c6R_Q,,Acesso em: 4/5/2024,Youtube,21
"Dr. Sproesser esclarece dúvidas sobre dengue, zika vírus e chikungunya",https://www.youtube.com/watch?v=7YaknMbFf9E,,Acesso em: 4/5/2024,Youtube,21
"Veja Saúde: as diferenças entre mayaro, chikungunya e dengue",https://www.youtube.com/watch?v=CnNQ98un0KA,,Acesso em: 4/5/2024,Youtube,21
"Cuidados básicos ajudam a prevenir dengue, Zika e chikungunya - Correspondente Médico",https://www.youtube.com/watch?v=TTYjsZGJJ_s,,Acesso em: 4/5/2024,Youtube,21
☝️ Dedo dormente pós chikungunya se melhora assim,https://www.youtube.com/watch?v=UcuN1o_LT8Q,,Acesso em: 4/5/2024,Youtube,21
"Febre de Chikungunya - O que fazer, Como tratar",https://www.youtube.com/watch?v=YDA4TUVZ3hw,,Acesso em: 4/5/2024,Youtube,21
Chikungunya - Arboviroses - Agente Comunitário de Saúde e Agente de Combate à Endemias,https://www.youtube.com/watch?v=gJK5-UyD20s,,Acesso em: 4/5/2024,Youtube,21
"CHIKUNGUNYA - CAUSAS, SINTOMAS, DIAGNÓSTICO E TRATAMENTO - INFECTOLOGIA",https://www.youtube.com/watch?v=XQHOwZ4v-O0,,Acesso em: 4/5/2024,Youtube,21
"Como saber diferenciar DENGUE, ZIKA E CHIKUNGUNYA não passe mais trabalho, jeito fácil.",https://www.youtube.com/watch?v=zSE311nP96A,,Acesso em: 4/5/2024,Youtube,21
"Dengue, Zika e Chikungunya: As doenças do Aedes",https://www.youtube.com/watch?v=qM7MT5YTSLQ,,Acesso em: 4/5/2024,Youtube,21
"Esclareça suas dúvidas sobre Dengue, Zika e Chikungunya",https://www.youtube.com/watch?v=JTIwFwOt6ug,,Acesso em: 4/5/2024,Youtube,21
Micose sistêmica - Coccidioidomicose,https://www.youtube.com/watch?v=9xMElANUzn8,,Acesso em: 4/5/2024,Youtube,22
Doença do tatu que matou um jovem no Piauí: Coccidioidomicose,https://www.youtube.com/watch?v=Xz4_oYW53xg,,Acesso em: 4/5/2024,Youtube,22
Coccidioidomicose,https://www.youtube.com/watch?v=eHe5joOZlP8,,Acesso em: 4/5/2024,Youtube,22
COQUELUCHE: TUDO QUE VOCÊ PRECISA SABER SOBRE A DOENÇA,https://www.youtube.com/watch?v=Ekeug5_drss,,Acesso em: 4/5/2024,Youtube,23
"O que é Coqueluche? Sintomas, prevenção, vacina |Tosse comprida",https://www.youtube.com/watch?v=Oz5zHcb8KXY,,Acesso em: 4/5/2024,Youtube,23
Coqueluche | Turma da Mônica,https://www.youtube.com/watch?v=HpSZEQgLOcU,,Acesso em: 4/5/2024,Youtube,23
Coronavírus: O que a covid-19 faz com o seu corpo,https://www.youtube.com/watch?v=WEMpIQ30srI,,Acesso em: 4/5/2024,Youtube,24
COVID-19: A HISTÓRIA COMPLETA!,https://www.youtube.com/watch?v=LUTiaQybgfo,,Acesso em: 4/5/2024,Youtube,24
Coronavirus: por dentro de uma UTI lutando contra a covid-19,https://www.youtube.com/watch?v=-on2_n6K1bo,,Acesso em: 4/5/2024,Youtube,24
Criptococose,https://www.youtube.com/watch?v=3DinB_9WhUA,,Acesso em: 4/5/2024,Youtube,25
"CRIPTOCOCOSE EM GATOS (Doença do Pombo em Gatos). Transmissão, Diagnóstico, Tratamento e Prevenção.",https://www.youtube.com/watch?v=4Ovs9dxLOQk,,Acesso em: 4/5/2024,Youtube,25
Doença do pombo: 15 casos de criptococose em 7 meses,https://www.youtube.com/watch?v=ZOCXdXrwn0o,,Acesso em: 4/5/2024,Youtube,25
Criptococose,https://www.youtube.com/watch?v=xwHp9cKXdOQ,,Acesso em: 4/5/2024,Youtube,25
