titulo,url,nome_do_canal,data,fonte,anatomia_id
Meninges - Dura-Máter / Aracnoide / Pia-Máter - Revestimento do Sistema Nervoso Central - Aula 2,https://www.youtube.com/watch?v=4EBbc2bx-hs,,Acesso em: 11/5/2024,Youtube,21
POR QUE O AÇÚCAR É TÃO PERIGOSO? MÉDICO EXPLICA | Lutz Podcast,https://www.youtube.com/watch?v=QbVJg4yNKJM,,Acesso em: 11/5/2024,Youtube,22
3 maneiras de como o AÇÚCAR está ARRUINANDO sua vida !,https://www.youtube.com/watch?v=qazbBOztZb0,,Acesso em: 11/5/2024,Youtube,22
O que aconteceria com seu corpo se você parasse de comer açúcar?,https://www.youtube.com/watch?v=EEv4_DcDVFk,,Acesso em: 11/5/2024,Youtube,22
"Sistema Digestório 2/5 | Trato Gastrointestinal: Boca, Faringe, Esôfago e Estômago",https://www.youtube.com/watch?v=9-y3RHT8Efo,,Acesso em: 11/5/2024,Youtube,23
Câncer de esôfago: quais os sintomas e tratamentos?,https://www.youtube.com/watch?v=zMa_X8DJBuU,,Acesso em: 11/5/2024,Youtube,23
Sistema Digestório 08 - Esôfago (anatomia) - Vídeo-aula,https://www.youtube.com/watch?v=bjKycrzveVU,,Acesso em: 11/5/2024,Youtube,23
Artérias Abdominais,https://www.youtube.com/watch?v=UbnbUltsM4Y,,Acesso em: 11/5/2024,Youtube,24
ARTÉRIAS CORONÁRIAS: UM DETALHE QUE NUNCA NINGUÉM TE CONTOU.,https://www.youtube.com/watch?v=K7OqFHtcl_c,,Acesso em: 11/5/2024,Youtube,24
Veias e Artérias: Quais diferenças?,https://www.youtube.com/watch?v=vP88X4QzSB0,,Acesso em: 11/5/2024,Youtube,24
"Cotovelo: articulações, acidentes ósseos e ligamentos | Anatomia etc",https://www.youtube.com/watch?v=LCz2h3KjWP0,,Acesso em: 11/5/2024,Youtube,25
FLEXÃO DO COTOVELO! Com programa 3D,https://www.youtube.com/watch?v=4qjwoin9KN8,,Acesso em: 11/5/2024,Youtube,25
DOR NO COTOVELO,https://www.youtube.com/watch?v=MP9OF9GxB68,,Acesso em: 11/5/2024,Youtube,25
TRANSIÇÃO BULBO MEDULAR NÃO COMETA ESSE ERRO,https://www.youtube.com/watch?v=sJYiVk-7cN8,,Acesso em: 11/5/2024,Youtube,26
Qual é a função do BULBO ? BULBO - Neuroanatomia Básica,https://www.youtube.com/watch?v=7XBsF02fcdw,,Acesso em: 11/5/2024,Youtube,26
Tronco encefálico - parte 2: Bulbo,https://www.youtube.com/watch?v=obAbIoZVi7o,,Acesso em: 11/5/2024,Youtube,26
Epiderme: Sistema Tegumentar 2/4 | Anatomia etc,https://www.youtube.com/watch?v=iigFYu71OwI,,Acesso em: 11/5/2024,Youtube,27
"Anatomia da Pele - EPIDERME: Estrutura, proteção e pigmentação - Sistema Tegumentar - VideoAula 042",https://www.youtube.com/watch?v=wjOo9DtAVKo,,Acesso em: 11/5/2024,Youtube,27
Derme: Sistema Tegumentar 3/4 | Anatomia etc,https://www.youtube.com/watch?v=A303kIKlSs4,,Acesso em: 11/5/2024,Youtube,27
Bexiga urinária: Inervação,https://www.youtube.com/watch?v=0kH7Ztzoou8,,Acesso em: 11/5/2024,Youtube,28
"Bexiga hiperativa: sintomas, tratamentos e prevenções - Você Bonita (09/07/20)",https://www.youtube.com/watch?v=qGnU690hHW4,,Acesso em: 11/5/2024,Youtube,28
Cistite - A infecção da bexiga.,https://www.youtube.com/watch?v=494ms7llNqg,,Acesso em: 11/5/2024,Youtube,28
ARTÉRIAS CORONÁRIAS: UM DETALHE QUE NUNCA NINGUÉM TE CONTOU.,https://www.youtube.com/watch?v=K7OqFHtcl_c,,Acesso em: 11/5/2024,Youtube,29
Anatomia do Coração: Artérias Coronárias com Rogério Gozzi | Anatomia etc,https://www.youtube.com/watch?v=1iLbAmXykeo,,Acesso em: 11/5/2024,Youtube,29
Sistema Cardiovascular 5/6: Artérias Coronárias e Infarto Agudo do Miocárdio | Anatomia e etc.,https://www.youtube.com/watch?v=oGurYO1t-wU,,Acesso em: 11/5/2024,Youtube,29
"Epidídimo: Anatomia, função e vascularização",https://www.youtube.com/watch?v=TQEKJsy2AjI,,Acesso em: 11/5/2024,Youtube,30
"Epididimite: o que é, quadro clínico, diagnóstico e tratamento.",https://www.youtube.com/watch?v=jFgnK6XEw9c,,Acesso em: 11/5/2024,Youtube,30
Histologia do Epidídimo,https://www.youtube.com/watch?v=fqbWfAOVL8w,,Acesso em: 11/5/2024,Youtube,30
"🤨 Se você tem DOR na nuca, tem que assistir esse vídeo",https://www.youtube.com/watch?v=w8spGycRuHk,,Acesso em: 11/5/2024,Youtube,31
⚠️ 3 dicas pontuais para aliviar a DOR na nuca e COLUNA CERVICAL,https://www.youtube.com/watch?v=hyn7dmYQ6dc,,Acesso em: 11/5/2024,Youtube,31
DOR NA NUCA - 2 EXERCÍCIOS E COMO SABER A CAUSA,https://www.youtube.com/watch?v=p13ntQLQevo,,Acesso em: 11/5/2024,Youtube,31
Suprarrenais: Sistema Endócrino | Anatomia e etc,https://www.youtube.com/watch?v=6bhsEY_vy5I,,Acesso em: 11/5/2024,Youtube,32
[#1] GLÂNDULAS ADRENAIS: INTRODUÇÃO | MK Fisiologia,https://www.youtube.com/watch?v=zmn8hcSyP1c,,Acesso em: 11/5/2024,Youtube,32
"GLÂNDULA SUPRARRENAL (CORTISOL, ALDOSTERONA, ANDROGÊNIOS) - FISIOLOGIA HUMANA - FISIOLOGIA ENDÓCRINA",https://www.youtube.com/watch?v=_YvYNMD4jP0,,Acesso em: 11/5/2024,Youtube,32
Autuori assume o futebol do Coritiba: o que o coxa-branca pode esperar?,https://www.youtube.com/watch?v=Sr4Rz-pYe9I,,Acesso em: 11/5/2024,Youtube,33
4 Minutos para Tonificar as Coxas - Carol Borba,https://www.youtube.com/watch?v=xX1AcOWP-8A,,Acesso em: 11/5/2024,Youtube,33
DOGÃO ELIMINA O COXA E VAI A FINAL! Coritiba x Maringá - MELHORES MOMENTOS - SEMI - Paranaense 2024,https://www.youtube.com/watch?v=ZNjSxxKJEdA,,Acesso em: 11/5/2024,Youtube,33
3 dicas VALIOSAS sobre epiglote CAÍDA!,https://www.youtube.com/watch?v=z3TfLCYgg7I,,Acesso em: 11/5/2024,Youtube,34
Epiglotite,https://www.youtube.com/watch?v=chDlfgX75dY,,Acesso em: 11/5/2024,Youtube,34
"Epiglote na inspiração, expiração e na deglutição",https://www.youtube.com/watch?v=csAL2weCb3o,,Acesso em: 11/5/2024,Youtube,34
"Artérias, arteríolas, vênulas e veias",https://www.youtube.com/watch?v=dnRz-8zMpGU,,Acesso em: 11/5/2024,Youtube,35
Histologia Vasos Sanguíneos,https://www.youtube.com/watch?v=r6yjgOYT4Y4,,Acesso em: 11/5/2024,Youtube,35
Veias e Artérias: Quais diferenças?,https://www.youtube.com/watch?v=vP88X4QzSB0,,Acesso em: 11/5/2024,Youtube,35
TREINO DE BÍCEPS Em Apenas 10 MINUTOS!,https://www.youtube.com/watch?v=4d2lQKDXTJM,,Acesso em: 11/5/2024,Youtube,36
